"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Rapamycin","Drosophila melanogaster","16.35","-2.89","Dahomey","5 µM","Y","28025308"
"Rapamycin","Drosophila melanogaster","12.98","-2.89","Dahomey","10 µM","Y","28025308"
"Rhodiola rosea","Drosophila melanogaster","6.8","-2.9","IF","2.5 mg/ml","N","24472572"
"Quercetin","Caenorhabditis elegans","8","-3","N2","100 µM","N","19043800"
"Curcumin","Drosophila melanogaster","-17","-3","Ra","100 mM","Y","26136617"
"Metformin","Mus musculus","-5","-3","C57BL/6","1%in Standard Diet on 2 Consecutive Weeks Each Month","ND","29167747"
"Polyvinylpyrrotidone","Drosophila melanogaster","4","-3","cross between Canton S females with Oregon RC males","500 mg/100 mL of medium","N","4397875"
"Pantothenic acid","Drosophila melanogaster","2","-3","cross between Canton S females with Oregon RC males","50 mg/100 mL of medium","N","4397875"
"Anisomycin","Caenorhabditis elegans","-4.7","-3.2","N2","10 µM","N","31089188"
"Resveratrol","Anastrepha ludens","0","-3.4","","100 µM","N","19264118"
"Methylmercury acetate","Mus musculus","2.04","-3.59","Swiss","1 ppm","N","1113210"
"Freeze dried royal jelly","Drosophila melanogaster","8.5","-4","Oregon R","1% w/v","Y","23132575"
"Inositol","Drosophila melanogaster","1","-4","cross between Canton S females with Oregon RC males","120 mg/100 mL of medium","N","4397875"
"Lead acetate","Mus musculus","-4.57","-4.03","Swiss","25 ppm","N","1113210"
"α-Santalol","Caenorhabditis elegans","0.63","-4.16","N2","4 µM","N","30319772"
"α-Santalol","Caenorhabditis elegans","2.57","-4.16","N2","8 µM","N","30319772"
"Methionine","Zaprionus paravittiger","-7.58","-4.28","","250 mM","N","7744272"
"Aluminum potassium sulfate","Mus musculus","-2.78","-4.29","Swiss","5 ppm","N","1113210"
"α‐linolenic acid","Caenorhabditis elegans","15.13","-4.34","N2","10 mM","Y","28772063"
"C75","Caenorhabditis elegans","-6.25","-4.34","N2","30 µM","Y","25437839"
"D-Erythro-MAPP","Caenorhabditis elegans","-6.25","-4.34","N2","30 µM","Y","25437839"
"Epicatechin","Drosophila melanogaster","-3.78","-4.48","Canton S","1 µM","Y","28066251"
"Potassium titanium oxalate","Mus musculus","-0.36","-4.76","Swiss","5 ppm","N","1113210"
"Resveratrol","Anastrepha ludens","-2.8","-4.8","","100 µM","N","19264118"
"Aspirin (Bufferin)","Mus musculus","0.1","-4.8","C57BL/6J","495 µg/mL","N","4788962"
"Curcumin","Drosophila melanogaster","25.8","-5.2","Oregon R","1 mg/g","Y","22653297"
"Curcumin","Drosophila melanogaster","6.2","-5.2","Oregon R","0.5 mg/g","N","22653297"
"Epicatechin","Drosophila melanogaster","-6.49","-5.22","Canton S","0.3µM","Y","28066251"
"Genistein","Drosophila melanogaster","-14.11","-5.26","Oregon-R","1 μL/100 mL","Y","21127834"
"Resveratrol","Drosophila melanogaster","-9.9","-5.28","w1118","500 µmol/L","N","29324667"
"Plumbagin","Caenorhabditis elegans","-3","-6","N2","50 µM","N","21765926"
"Rhodiola rosea","Drosophila melanogaster","2.4","-6","IF","2.5 mg/ml","N","24472572"
"Metformin","Mus musculus","-1","-6","C57BL/6","1% In Standard Diet Every Other Week","ND","29167747"
"Acetaminophen","Drosophila melanogaster","-10","-6","Canton S","650 mg/100 mL of medium","N","4397875"
"Aspirin (Bufferin)","Mus musculus","5","-6.1","C57BL/6J","113 µg/mL","N","4788962"
"Resveratrol","Anopheles stephensi","6.88","-6.11","","100 µM","N","25848933"
"1-hydrazinophthalazine hydrochloride","Mus musculus","0","-6.12","Swiss","0.125 %","ND","280718"
"Menadione","Caenorhabditis elegans","-8.72","-6.36","N2","100 µM","Y","28086197"
"Diethyl Maleate","Caenorhabditis elegans","-6.68","-6.4","N2","1 mM","Y","28086197"
"Quercetin","Drosophila melanogaster","-4.55","-6.7","Canton S","0.5 µM","Y","28066251"
"Resveratrol","Anopheles stephensi","-5.74","-6.89","","50 µM","Y","25848933"
"Sodium metaborate","Mus musculus","29.85","-7.01","Swiss","5 ppm","N","1113210"
"Genistein","Drosophila melanogaster","-14.53","-7.27","Oregon-R","1 μL/100 mL","Y","21127834"
"Resveratrol","Anastrepha ludens","-5.8","-7.3","","100 µM","N","19264118"
"Cycloheximide","Drosophila melanogaster","","-7.65","F2 hybrids between the B and K inbred lines","5 mg/mL","ND","5353613"
"Resveratrol","Anastrepha ludens","2.5","-7.7","","100 µM","N","19264118"
"Quercetin","Caenorhabditis elegans","10","-8","N2","200 µM","N","19043800"
"Oxoline","Caenorhabditis elegans","2","-8","N2","100 µM","N","21765926"
"Sodium hypophosphite","Zaprionus paravittiger","-24.2","-8.1","","60 mM","Y","3721207"
"Quercetin","Drosophila melanogaster","-5.09","-8.2","Canton S","0.3µM","Y","28066251"
"Quercetin","Drosophila melanogaster","-10.2","-8.21","Canton S","1 µM","Y","28066251"
"J147","Drosophila melanogaster","12.5","-8.33","(w1118/+)","2 µM","Y","29316249"
"Glucose","Caenorhabditis elegans","-17.65","-8.33","N2","4%","Y","26764305"
"Kinetin","Zaprionus paravittiger","-5.41","-8.47","","100 ppm","Y","9137816"
"Methionine","Zaprionus paravittiger","-14.8","-8.54","","500 mM","Y","7744272"
"G109","Caenorhabditis elegans","6.25","-8.69","N2","30 µM","Y","25437839"
"2-Ethyl-6-methylpyridin-3-ol hydrochloride","Drosophila melanogaster","-10","-9.09","R(1)2 yy/y+Y","0.1 %","N","119648"
"Methionine","Zaprionus paravittiger","-22.19","-9.26","","500 mM","Y","7744272"
"Sodium metaborate","Mus musculus","-3.24","-9.45","Swiss","5 ppm","N","1113210"
"Resveratrol","Anastrepha ludens","-25.3","-9.5","","100 µM","Y","19264118"
"Dimethylaminoethyl p-chlorophenoxyacetate","Mus musculus","5.9","-9.6","C57BL/6J","702 µg/mL","N","4788962"
"Sodium metaborate","Mus musculus","-2.94","-9.63","Swiss","5 ppm","N","1113210"
"Trimethadione","Caenorhabditis elegans","-7","-10","N2","4 mg/ml","N","15653505"
"Epicatechin","Drosophila melanogaster","-9.08","-10","Canton S","0.3µM","Y","28066251"
"Aspirin (Bufferin)","Mus musculus","-17.5","-10.1","C57BL/6J","242 µg/mL","Y","4788962"
"Chloroquine","Mus musculus","-16.8","-10.8","C57BL/6J","13.2 µg/mL","Y","4788962"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","-7.9","-10.85","N2","800 µM","Y","28992589"
"Acetaminophen","Mus musculus","3.7","-11","C57BL/6J","242 µg/mL","N","4788962"
"Sodium hypophosphite","Zaprionus paravittiger","-24.4","-11.2","","60 mM","Y","3721207"
"Sodim cyclamate","Rattus norvegicus","9.77","-11.28","Wistar","0.43/100 g","Y","5132583"
"Caffeine","Drosophila melanogaster","-22.86","-11.6","Canton-S","0.03%","Y","29093334"
"Caffeine","Drosophila melanogaster","-17.14","-11.6","Canton-S","0.05%","Y","29093334"
"Resveratrol","Anastrepha ludens","-1.4","-12","","100 µM","N","19264118"
"Resveratrol","Anastrepha ludens","-3.3","-12.1","","100 µM","N","19264118"
"Sodium tungstate","Rattus norvegicus","-3.57","-12.18","Long-Evans","5 ppm","N","1113208"
"Rhodiola rosea","Drosophila melanogaster","-9.1","-12.2","IF","30 mg/ml","Y","24472572"
"Genistein","Drosophila melanogaster","-20.49","-12.28","Oregon-R","3 μL/100 mL","Y","21127834"
"Resveratrol","Anopheles stephensi","2.92","-12.28","","200 µM","N","25848933"
"Resveratrol","Anastrepha ludens","-4.6","-12.4","","100 µM","N","19264118"
"Genistein","Drosophila melanogaster","-18.99","-12.73","Oregon-R","3 μL/100 mL","Y","21127834"
"Galactose","Drosophila melanogaster","-12.6","-12.9","","6.50%","Y","15547319"
"Ascorbic acid","Caenorhabditis elegans","-0.76","-12.9","N2","10 mM","N","27683245"
"Plumbagin","Caenorhabditis elegans","-11","-13","N2","100 µM","Y","21765926"
"Cyclizine HCl","Drosophila melanogaster","-8","-13","Canton S","50 mg/100 mL of medium","N","4397875"
"Quercetin","Drosophila melanogaster","-2.8","-13.07","Canton S","0.3µM","Y","28066251"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","-16.6","-13.14","N2","1 mM","Y","28992589"
"Kinetin","Zaprionus paravittiger","-2.9","-13.2","","625 ppm","Y","7488181"
"Quercetin","Drosophila melanogaster","-12","-13.84","Canton S","0.5 µM","Y","28066251"
"Calcium dichloride","Asplanchna brightwelli","-3.3","-14.28","4B61","0.5 mM","N","7428860"
"Magnesium chloride","Asplanchna brightwelli","-22.9","-14.28","4B61","1.2 mM","Y","7428860"
"EGTA","Asplanchna brightwelli","-24","-14.28","4B61","0.25 %","Y","7428860"
"Sodium citrate","Asplanchna brightwelli","-27.09","-14.28","4B61","0.5 %","Y","7428860"
"Resveratrol","Anastrepha ludens","-14.5","-14.4","","100 µM","N","19264118"
"Quercetin","Drosophila melanogaster","-13.79","-14.62","Canton S","1 µM","Y","28066251"
"Chlorpheniramine","Mus musculus","1.4","-14.7","C57BL/6J","0.762 µg/mL","N","4788962"
"Barium acetate","Mus musculus","7.6","-14.88","Swiss","5 ppm","N","1113210"
"Plumbagin","Caenorhabditis elegans","-16","-15","N2","100 µM","Y","21765926"
"Chloroquine","Mus musculus","0.3","-15","C57BL/6J","39.5 µg/mL","N","4788962"
"Mercuric chloride","Mus musculus","-10.29","-15.04","Swiss","5 ppm","N","1113210"
"Mercuric chloride","Mus musculus","6.67","-15.18","Swiss","5 ppm","N","1113210"
"Sodium tungstate","Rattus norvegicus","-13.37","-15.53","Long-Evans","5 ppm","Y","1113208"
"Genistein","Aedes aegypti","61.5","-15.64","Liverpool","100 µM","Y","27732590"
"Barium acetate","Mus musculus","-8.8","-15.94","Swiss","5 ppm","Y","1113210"
"Vitamin E","Zaprionus paravittiger","-33.7","-16.08","","25 μg/mL","Y","8930618"
"Rhodiola rosea","Drosophila melanogaster","-11.9","-16.4","IF","30 mg/ml","Y","24472572"
"Galactose","Drosophila melanogaster","-15.9","-17.1","","6.50%","Y","15547319"
"Glucose","Caenorhabditis elegans","-23.6","-17.24","N2","4%","Y","26764305"
"Sodium tungstate","Mus musculus","40.75","-19.96","Swiss","5 ppm","Y","1113210"
"Methylmercury acetate","Mus musculus","2.32","-20.69","Swiss","1 ppm","N","1113210"
"Vitamin E","Zaprionus paravittiger","-42.97","-20.73","","25 μg/mL","Y","8930618"
"Myleran","Rattus norvegicus","-12.5","-20.94","L-strain","13.8 mg/kg","ND","14204090"
"Glucose","Caenorhabditis elegans","-23.75","-20.97","N2","2%","Y","26764305"
"Galactose","Musca domestica","-19.8","-21.9","","20 mg/ml","Y","15547319"
"Myleran","Rattus norvegicus","-16.3","-22.4","L-strain","12.1 mg/kg","ND","14204090"
"Taurine","Drosophila melanogaster","-14.29","-23.19","Canton-S","1.50%","Y","29093334"
"Genistein","Drosophila melanogaster","-31.95","-24.56","Oregon-R","5 μL/100 mL","Y","21127834"
"Resveratrol","Saccharomyces cerevisiae","-34.8","-25","W303-1A","100 µM","Y","28412652"
"Vitamin E","Zaprionus paravittiger","-52.15","-26.33","","50 μg/mL","Y","8930618"
"Galactose","Musca domestica","-27.1","-27.1","","20 mg/ml","Y","15547319"
"Genistein","Drosophila melanogaster","-30.97","-27.27","Oregon-R","5 μL/100 mL","Y","21127834"
"Myleran","Rattus norvegicus","-20.9","-27.95","L-strain","15.5 mg/kg","ND","14204090"
"Calcium dichloride","Asplanchna brightwelli","-26.65","-28.57","4B61","2.4 mM","Y","7428860"
"Magnesium chloride","Asplanchna brightwelli","-20.04","-28.57","4B61","2.4 mM","Y","7428860"
"Nitrosodimethylurea","Drosophila melanogaster","-37","-33","D32","0.0001 %","Y","119648"
"Vitamin E","Zaprionus paravittiger","-53.96","-34.55","","50 μg/mL","Y","8930618"
"Genistein","Drosophila melanogaster","-42.86","-36.84","Oregon-R","10 μL/100 mL","Y","21127834"
"Genistein","Drosophila melanogaster","-41.75","-40","Oregon-R","10 μL/100 mL","Y","21127834"
"Kinetin","Zaprionus paravittiger","-22.5","-40.3","","100 ppm","Y","9137816"
"Butylated hydroxyanisole","Zaprionus paravittiger","-45.9","-40.7","","50 mM","Y","9207858"
"Butylated hydroxyanisole","Zaprionus paravittiger","-31.7","-46.3","","50 mM","Y","9207858"
"Kinetin","Zaprionus paravittiger","-71","-47.1","","3125 ppm","Y","7488181"
"Sodium hypophosphite","Zaprionus paravittiger","-46.9","-47.2","","100 mM","Y","3721207"
"Butylated hydroxyanisole","Zaprionus paravittiger","-63.8","-53.7","","100 mM","Y","9207858"
"Sodium hypophosphite","Zaprionus paravittiger","-58.8","-54.8","","100 mM","Y","3721207"
"Kinetin","Zaprionus paravittiger","-65.7","-55.2","","3125 ppm","Y","7488181"
"Butylated hydroxyanisole","Zaprionus paravittiger","-57.2","-55.2","","100 mM","Y","9207858"
"Sodium hypophosphite","Zaprionus paravittiger","-84.1","-78.1","","500 mM","Y","3721207"
"Sodium hypophosphite","Zaprionus paravittiger","-85.3","-78.6","","500 mM","Y","3721207"
"Sodium hypophosphite","Zaprionus paravittiger","-88.5","-91.4","","1 mM","Y","3721207"
"Sodium hypophosphite","Zaprionus paravittiger","-89.8","-94.9","","1 mM","Y","3721207"
"Calcium gluconate","Drosophila melanogaster","-3.7","","Oregon R","0.001 M","ND","110607"
"Calcium gluconate","Drosophila melanogaster","-13.2","","Oregon R","0.01 M","ND","110607"
"Calcium lactate","Drosophila melanogaster","-10.7","","Oregon R","0.01 M","ND","110607"
"Calcium gluconate","Drosophila melanogaster","-56.6","","Oregon R","0.1 M","ND","110607"
"Calcium lactate","Drosophila melanogaster","1.8","","Oregon R","0.001 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","-9.3","","Oregon R","1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","-5.2","","Oregon R","0.1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","0","","Oregon R","0.01 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","0","","Oregon R","0.001 M","ND","110607"
"Calcium lactate","Drosophila melanogaster","-66.1","","Oregon R","0.1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","-1.8","","Oregon R","0.001 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","0","","Oregon R","0.5M 2x/week","ND","110607"
"Gluconic acid","Drosophila melanogaster","3.8","","Oregon R","0.25M 2x/week","ND","110607"
"Gluconic acid","Drosophila melanogaster","3.8","","Oregon R","0.01M 2x/week","ND","110607"
"Gluconic acid","Drosophila melanogaster","5.3","","Oregon R","0.01 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","9.3","","Oregon R","0.5 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","12.3","","Oregon R","0.1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","20.8","","Oregon R","0.1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","14.3","","Oregon R","0.1 M","ND","110607"
"Lactic acid","Drosophila melanogaster","-1.9","","Oregon R","0.5M","ND","110607"
"Lactic acid","Drosophila melanogaster","-32.7","","Oregon R","1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","22.2","","Oregon R","0.25 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","7.2","","Oregon R","0.01 M","ND","110607"
"Lactic acid","Drosophila melanogaster","3.6","","Oregon R","0.01M","ND","110607"
"Lactic acid","Drosophila melanogaster","3.6","","Oregon R","0.001 M","ND","110607"
"Lactic acid","Drosophila melanogaster","14","","Oregon R","0.1M","ND","110607"
"Lactic acid","Drosophila melanogaster","8","","Oregon R","0.001 M","ND","110607"
"Lactic acid","Drosophila melanogaster","12","","Oregon R","0.01M","ND","110607"
"Lactic acid","Drosophila melanogaster","15.5","","Oregon R","0.1M","ND","110607"
"Tartaric acid","Drosophila melanogaster","0","","Oregon R","0.001 M","ND","110607"
"Tartaric acid","Drosophila melanogaster","-72","","Oregon R","0.1M","ND","110607"
"Tartaric acid","Drosophila melanogaster","6","","Oregon R","0.01M","ND","110607"
"Lactic acid","Drosophila melanogaster","15.4","","Oregon R","0.25M","ND","110607"
"Diiodomethane","Drosophila melanogaster","29.3","","Oregon-R","10 µg/mL","Y","412727"
"Polypeptide Pineal extract","Rattus norvegicus","25","","","0.5 mg, 5 times a week","Y","575333"
"Citrate","Mytilina brevispina","51.7","","","0.25% on alternate days","ND","804507"
"Butylated hydroxytoluene","Mus musculus","30.1","","BaLB/c","0.75%","Y","448040"
"Edetate Calcium Disodium","Mytilina brevispina","49.4","","","0.25% on alternate days","ND","804507"
"Butylated hydroxytoluene","Mus musculus","24.8","","BaLB/c","0.75%","Y","448040"
"Tartrate","Mytilina brevispina","43.7","","","0.25% on alternate days","ND","804507"
"EGTA","Mytilina brevispina","75.9","","","0.25% on alternate days","ND","804507"
"Ascorbic acid","Caenorhabditis elegans","0","","N2","80 µg/ml","N","3374177"
"Vitamin E","Caenorhabditis elegans","4","","N2","400 µg/ml","N","3374177"
"Vitamin E","Caenorhabditis elegans","9","","N2","100 µg/ml","N","3374177"
"Vitamin E","Caenorhabditis elegans","22","","N2","200 µg/ml","Y","3374177"
"Vitamin E","Caenorhabditis elegans","17","","N2","200 µg/ml","Y","3374177"
"Vitamin E","Caenorhabditis elegans","23","","N2","200 µg/ml","Y","3374177"
"Nordihydroguaiaretic acid","Aedes aegypti","42.7","","","0.001% (w/v)","Y","3749035"
"Nordihydroguaiaretic acid","Aedes aegypti","6.7","","","0.005% (w/v)","N","3749035"
"Nordihydroguaiaretic acid","Aedes aegypti","13.6","","","0.01% (w/v)","N","3749035"
"Nordihydroguaiaretic acid","Aedes aegypti","64.3","","","0.005% (w/v)","Y","3749035"
"Curare","Asplanchna brightwelli","-24","","","0.00%","Y","3833547"
"Curare","Asplanchna brightwelli","26","","","0.00%","Y","3833547"
"Curare","Asplanchna brightwelli","32","","","0.00%","Y","3833547"
"Nordihydroguaiaretic acid","Aedes aegypti","11.9","","","0.001% (w/v)","N","3749035"
"Curare","Asplanchna brightwelli","34","","","0.00%","Y","3833547"
"Vitamin E","Asplanchna brightwelli","21","","","25 µg/mL","Y","6479253"
"Thyroxin","Rattus norvegicus","-3.5","","Wistar","0.5 µg/g bodyweight","ND","6632988"
"Thyroxin","Rattus norvegicus","6.9","","Wistar","0.5 µg/g bodyweight","ND","6632988"
"Thyroxin","Rattus norvegicus","8.4","","Wistar","1 µg/g bodyweight","ND","6632988"
"Thyroxin","Rattus norvegicus","11.6","","Wistar","2 µg/g bodyweight","ND","6632988"
"Thyroxin","Rattus norvegicus","11.1","","Wistar","2 µg/g bodyweight","ND","6632988"
"Butylated hydroxytoluene","Drosophila bipectinata","13","","","100 µM","Y","6656301"
"Thyroxin","Rattus norvegicus","16.1","","Wistar","1 µg/g bodyweight","ND","6632988"
"Butylated hydroxytoluene","Drosophila bipectinata","4.3","","","10 µM","Y","6656301"
"Butylated hydroxytoluene","Drosophila bipectinata","14.3","","","100 µM","Y","6656301"
"Butylated hydroxytoluene","Drosophila bipectinata","26.1","","","1000 µM","Y","6656301"
"Butylated hydroxytoluene","Drosophila bipectinata","4.8","","","10 µM","Y","6656301"
"Thiazolidine carboxylic acid","Drosophila melanogaster","31","","Oregon R","0.3% wt/vol","Y","6821144"
"Butylated hydroxytoluene","Drosophila bipectinata","19","","","1000 µM","Y","6656301"
"Vitamin E","Drosophila melanogaster","14","","Oregon R","0.4% wt/vol","Y","6821144"
"Sodium borate","Drosophila melanogaster","-69.2","","Oregon R","0.01 M","Y","7889879"
"Sodium borate","Drosophila melanogaster","-51.9","","Oregon R","0.05 M","Y","7889879"
"Sodium borate","Drosophila melanogaster","0","","Oregon R","1 µM","N","7889879"
"Sodium borate","Drosophila melanogaster","1.5","","Oregon R","0.01 mM","Y","7889879"
"Sodium borate","Drosophila melanogaster","3","","Oregon R","0.1 mM","Y","7889879"
"Sodium borate","Drosophila melanogaster","9.5","","Oregon R","0.25 mM","N","7889879"
"Sodium borate","Drosophila melanogaster","-21.2","","Oregon R","1 mM","Y","7889879"
"Sodium borate","Mus musculus","0.8","","C57BL/6J","0.5 mM (21.6 ppm)","N","7889879"
"Black tea extract","Drosophila melanogaster","20.2","","Oregon R","Instead of water","Y","8326745"
"Melatonin","Mus musculus","18.1","","BALB/c","10 micro-g/ml of water","Y","8290600"
"Caffeine","Drosophila melanogaster","-10.1","","Oregon R","0.01 mg/ml","N","8326745"
"Caffeine","Drosophila melanogaster","-3.3","","Oregon R","1 mg/ml","N","8326745"
"Sodium borate","Mus musculus","-2.9","","C57BL/6J","0.1 mM (4.3 ppm)","N","7889879"
"Catechin","Drosophila melanogaster","-8.5","","Oregon R","0.1 mg/ml","N","8326745"
"Caffeine","Drosophila melanogaster","1.7","","Oregon R","0.1 mg/ml","N","8326745"
"Catechin","Drosophila melanogaster","-5.1","","Oregon R","1 mg/ml","N","8326745"
"Epicatechin","Drosophila melanogaster","1.8","","Oregon R","0.01 mg/ml","N","8326745"
"Epicatechin","Drosophila melanogaster","3.7","","Oregon R","0.1 mg/ml","N","8326745"
"Catechin","Drosophila melanogaster","-5.1","","Oregon R","0.01 mg/ml","N","8326745"
"Epicatechin","Drosophila melanogaster","7.4","","Oregon R","1 mg/ml","N","8326745"
"Tannic acid","Drosophila melanogaster","0","","Oregon R","1 mg/ml","N","8326745"
"Green tea extract","Drosophila melanogaster","8.6","","Oregon R","Instead of water","Y","8326745"
"Tannic acid","Drosophila melanogaster","0","","Oregon R","0.1 mg/ml","N","8326745"
"Tannic acid","Drosophila melanogaster","-2.9","","Oregon R","1 mg/ml","N","8326745"
"Tea (Camellia sinensis) extract","Drosophila melanogaster","15.7","","Oregon R","Instead of water","Y","8326745"
"Tea (Camellia sinensis) extract","Drosophila melanogaster","7","","Oregon R","1:10 dilution","Y","8326745"
"Tea (Camellia sinensis) extract","Drosophila melanogaster","20.2","","Oregon R","Instead of water","Y","8326745"
"L-deprenyl","Rattus norvegicus","15.1","","F344/DuCrj","0.5 mg/kg. 3 times a week","Y","8423709"
"Tea (Camellia sinensis) extract","Drosophila melanogaster","12.2","","Oregon R","Instead of water","Y","8326745"
"L-deprenyl","Canis lupus familiaris","","","Beagles","1 mg/kg","ND","9307048"
"Ginkgo biloba extract","Rattus norvegicus","17.4","","Fischer 344","50 mg/kg","Y","9469738"
"Epithalamin","Mus musculus","31","","C3H/Sn","NA","Y","9701766"
"Epithalamin","Drosophila melanogaster","16","","","NA","Y","9701766"
"Melatonin","Drosophila melanogaster","5.5","","Canton S","0.08% per unit mass culture medium","Y","10100152"
"Melatonin","Drosophila melanogaster","4.8","","Canton S","0.08% per unit mass culture medium","Y","10100152"
"Epithalamin","Rattus norvegicus","25","","","NA","Y","9701766"
"Tocotrienol","Caenorhabditis elegans","8.7","","N2","8 µg/ml","Y","10843344"
"Tocotrienol","Caenorhabditis elegans","19.8","","N2","80 µg/ml","Y","10843344"
"EUK-134","Caenorhabditis elegans","29","","N2","0.05 mM","Y","10968795"
"EUK-134","Caenorhabditis elegans","38","","N2","0.5 mM","Y","10968795"
"EUK-134","Caenorhabditis elegans","52","","N2","5 mM","Y","10968795"
"EUK-134","Caenorhabditis elegans","42","","N2","5 mM","Y","10968795"
"EUK-134","Caenorhabditis elegans","38","","N2","0.05 mM","Y","10968795"
"EUK-134","Caenorhabditis elegans","52","","N2","10 mM","Y","10968795"
"EUK-134","Caenorhabditis elegans","54","","N2","0.5 mM","Y","10968795"
"Vitamin E","Caenorhabditis elegans","2.9","","N2","80 ug/ml","Y","10843344"
"EUK-8","Caenorhabditis elegans","29","","N2","10 mM","Y","10968795"
"EUK-8","Caenorhabditis elegans","33","","N2","0.05 mM","Y","10968795"
"EUK-8","Caenorhabditis elegans","29","","N2","5 mM","Y","10968795"
"EUK-8","Caenorhabditis elegans","38","","N2","0.5 mM","Y","10968795"
"Epitalon","Drosophila melanogaster","3.2","","Canton S","5*10^-6 %","N","11087911"
"Epitalon","Drosophila melanogaster","7.1","","Canton S","1*10^-9 %","N","11087911"
"Epitalon","Drosophila melanogaster","3.2","","Canton S","1*10^-6 %","N","11087911"
"EUK-8","Caenorhabditis elegans","33","","N2","5 mM","Y","10968795"
"Epitalon","Drosophila melanogaster","10.8","","Canton S","1*10^-7 %","Y","11087911"
"Epitalon","Drosophila melanogaster","11.3","","Canton S","5*10^-6 %","Y","11087911"
"Epitalon","Drosophila melanogaster","11.8","","Canton S","1*10^-7 %","Y","11087911"
"Epitalon","Drosophila melanogaster","12.8","","Canton S","1*10^-6 %","Y","11087911"
"Epitalon","Drosophila melanogaster","13.4","","Canton S","1*10^-8 %","Y","11087911"
"Epitalon","Drosophila melanogaster","12","","Canton S","1*10^-8 %","Y","11087911"
"Epitalon","Drosophila melanogaster","16.6","","Canton S","1*10^-9 %","Y","11087911"
"D-glucosamine","Saccharomyces cerevisiae","0","","W303R","0.5 mg/ml","N","11805047"
"D-glycerol","Saccharomyces cerevisiae","49.8","","PSY316","1 M","ND","12391171"
"D-xylitol","Saccharomyces cerevisiae","36.8","","PSY316","1 M","ND","12391171"
"Glucose","Saccharomyces cerevisiae","19.8","","PSY316","10%","ND","12391171"
"Glucose","Saccharomyces cerevisiae","63.1","","PSY316","20%","ND","12391171"
"Carnosine","Drosophila melanogaster","24.3","","D-32","200 mg/l","Y","12447464"
"Sorbitol","Saccharomyces cerevisiae","29.9","","PSY316","1 M","ND","12391171"
"Carnosine","Drosophila melanogaster","19.5","","D-32","0.2 mg/l","Y","12447464"
"Carnosine","Drosophila melanogaster","26.4","","D-32","2 mg/l","Y","12447464"
"EUK-8","Caenorhabditis elegans","-83.9","","N2","5 mM","Y","12521609"
"EUK-8","Caenorhabditis elegans","-83.7","","N2","5 mM","Y","12521609"
"EUK-8","Caenorhabditis elegans","-81","","N2","5 mM","Y","12521609"
"EUK-8","Caenorhabditis elegans","-26.5","","N2","0.5 mM","Y","12521609"
"EUK-8","Caenorhabditis elegans","-33.1","","N2","0.5 mM","Y","12521609"
"EUK-8","Caenorhabditis elegans","-26.6","","N2","0.5 mM","Y","12521609"
"EUK-8","Caenorhabditis elegans","-21.1","","N2","0.5 mM","Y","12521609"
"EUK-8","Caenorhabditis elegans","-12.9","","N2","0.05 mM","Y","12521609"
"EUK-8","Caenorhabditis elegans","-10.7","","N2","0.5 mM","Y","12521609"
"EUK-8","Caenorhabditis elegans","-6.1","","N2","0.05 mM","Y","12521609"
"Carnosine","Drosophila melanogaster","","","D-32","200 mg/l","N","12447464"
"EUK-8","Caenorhabditis elegans","-5.7","","N2","0.05 mM","N","12521609"
"EUK-8","Caenorhabditis elegans","-0.9","","N2","0.05 mM","N","12521609"
"Butein","Saccharomyces cerevisiae","31","","PSY316AT MATα","10 µM","Y","12939617"
"EUK-8","Caenorhabditis elegans","3","","N2","0.05 mM","N","12521609"
"Resveratrol","Saccharomyces cerevisiae","60.7","","PSY316AT MATα","10 µM","Y","12939617"
"Fisetin","Saccharomyces cerevisiae","55","","PSY316AT MATα","10 µM","Y","12939617"
"Resveratrol","Saccharomyces cerevisiae","40","","PSY316AT MATα","100 µM","Y","12939617"
"Resveratrol","Saccharomyces cerevisiae","39.5","","PSY316AT MATα","500 µM","Y","12939617"
"Resveratrol","Saccharomyces cerevisiae","70","","PSY316AT MATα","10 µM","Y","12939617"
"Royal Jelly","Mus musculus","23.6","","C3H/HeJ","500 ppm ad libitum in diet","Y","12954483"
"Coenzyme Q10","Caenorhabditis elegans","6","","N2","50 µg/ml","Y","14706236"
"Vitamin E","Caenorhabditis elegans","11","","N2","400 µg/ml","Y","14706236"
"Coenzyme Q10","Caenorhabditis elegans","18","","N2","150 µg/ml","Y","14706236"
"Coenzyme Q10","Caenorhabditis elegans","9","","N2","150 µg/ml","Y","14706236"
